timestamp,price,volume,market_cap,datetime,date,year,month,day,day_of_week,quarter,return_1d,return_3d,return_7d,return_14d,return_30d,sma_7,ema_7,sma_14,ema_14,sma_30,ema_30,sma_50,ema_50,volatility_7,volatility_14,volatility_30,bb_middle,bb_std,bb_upper,bb_lower,bb_position,rsi,macd,macd_signal,macd_histogram,momentum_3,momentum_7,momentum_14,volume_sma_7,volume_ratio,price_lag_1,price_lag_2,price_lag_3,price_lag_5,price_lag_7,trend_bullish,sentiment_score,coin,data_timestamp
1760054400000,121698.03066778315,72097306668.91356,2423288659157.484,2025-10-10 00:00:00,2025-10-10,2025,10,10,Friday,4,-1.3412570819882008,-2.464848192994362,0.9006683262914761,11.686938295719385,9.099797488027273,122782.86769469254,121724.07017117139,118459.71488056712,119739.3678793105,116495.3046557556,117229.78739077332,114450.35493978027,115936.93030751908,1.554627368068644,1.6072695706487654,1.577981740659202,118459.71488056712,5366.407520419935,129192.52992140698,107726.89983972725,0.650860504671598,77.40535873871055,2584.0544964702713,1889.8971462150791,694.1573502551921,-3075.4775629611686,1086.3115518726408,12734.500531826809,67242251178.62824,1.0722024531479162,123352.50487523204,121518.75593575071,124773.50823074432,122380.93708463266,120611.71911591051,1,1,bitcoin,2025-11-18 13:53:54.716199
1760140800000,113201.74064138904,151002213089.8765,2265659827789.9917,2025-10-11 00:00:00,2025-10-11,2025,10,11,Saturday,4,-6.981452353643814,-6.844223535961014,-7.401554181116565,3.1825041029441614,-0.6787295881923616,121490.23751940124,119593.4877887258,118709.11001590364,118867.68424758765,116469.51851397895,116969.91340694208,114466.10175514074,115829.66796767084,2.9936654325164165,2.6310628514207326,2.0253931116852315,118709.11001590364,4996.921746445729,128702.9535087951,108715.2665230122,0.22446189604470224,55.63455531721034,1830.316698848721,1877.9810567418076,-47.66435789308662,-8317.01529436167,-9048.411227038989,3491.531894711603,76934648704.5366,1.9627335099662624,121698.03066778315,123352.50487523204,121518.75593575071,123506.18520027678,122250.15186842803,1,0,bitcoin,2025-11-18 13:53:54.716199
1760227200000,110853.11663883903,108643865752.17674,2211404015103.109,2025-10-12 00:00:00,2025-10-12,2025,10,12,Sunday,4,-2.074724283604612,-10.133063977124612,-9.419620996872712,1.0927987798972083,-4.025906932845813,119843.40602714501,117408.3950012541,118794.7033321952,117799.07523308783,116314.51684754257,116575.28135738705,114346.47909827708,115634.50909203038,2.966238532510648,2.703869676858398,2.0432066549578236,118794.7033321952,4837.622351298886,128469.94803479298,109119.45862959743,0.08959246316406422,51.80053318960724,1031.568456077439,1708.6985366089339,-677.130080531495,-12499.388236393017,-11527.820445793637,1198.3064280817634,87432111446.01768,1.2426082815037083,113201.74064138904,121698.03066778315,123352.50487523204,124773.50823074432,122380.93708463266,0,0,bitcoin,2025-11-18 13:53:54.716199
1760313600000,115189.5714637257,93857100744.12454,2294724465036.9785,2025-10-13 00:00:00,2025-10-13,2025,10,13,Monday,4,3.911892562312791,-5.348039872415466,-6.733762947228039,2.7170750033964186,-0.8355464735379403,118655.31835049487,116853.689116872,119012.34603478084,117451.14139717289,116282.16444813527,116485.88071908633,114343.07085820864,115617.06055758706,3.5151077626418763,2.837056570958329,2.169146337762002,119012.34603478084,4576.8368277052205,128166.01969019129,109858.6723793704,0.2911890507044885,54.337348149760814,739.9408051099454,1514.9469903091363,-775.0061851991909,-6508.45920405745,-8316.61373655108,3046.9978361989633,90552913547.85466,1.036489021355715,110853.11663883903,113201.74064138904,121698.03066778315,121518.75593575071,123506.18520027678,0,0,bitcoin,2025-11-18 13:53:54.716199
1760400000000,115222.28302116522,68935270367.04033,2296863527017.9863,2025-10-14 00:00:00,2025-10-14,2025,10,14,Tuesday,4,0.0283980199108802,1.7849039849811454,-7.654850252279488,0.7988272213431902,-0.6452514351038552,117290.85760626927,116445.8375929453,119077.5697926359,117153.96028037187,116257.22105269312,116404.3582869624,114379.52554916895,115601.57908557051,3.4417015898376624,2.794494068892761,2.168946218299381,119077.5697926359,4510.685008100356,128098.93980883661,110056.19977643518,0.2863247619514942,51.383900830881345,505.63469790712406,1313.0845318287338,-807.4498339216098,2020.542379776176,-9551.225209579105,913.1326099707512,90457096305.32846,0.7620769755239162,115189.5714637257,110853.11663883903,113201.74064138904,123352.50487523204,124773.50823074432,0,0,bitcoin,2025-11-18 13:53:54.716199
1760486400000,113156.56943826913,91211854988.91518,2257545230986.0146,2025-10-15 00:00:00,2025-10-15,2025,10,15,Wednesday,4,-1.7928073708768921,2.0779323750858447,-6.881395742648023,-0.7609421380894266,-1.9215721573805244,116096.25953520047,115623.52055427626,119015.59419283364,116620.97483475818,116183.32151533979,116194.82352253057,114438.94984915425,115505.6963543038,3.3947929638363474,2.8391605157030972,2.1918660746583813,119015.59419283364,4590.708314385549,128197.01082160474,109834.17756406254,0.18093024249631934,48.75236231191418,151.51304949261248,1080.7702353615095,-929.2571858688971,2303.4527994301025,-8362.186497481584,-867.6583972314111,92617663486.63058,0.9848213780741906,115222.28302116522,115189.5714637257,110853.11663883903,121698.03066778315,121518.75593575071,0,0,bitcoin,2025-11-18 13:53:54.716199
1760572800000,110708.66960879423,68877328886.40259,2207742082237.0483,2025-10-16 00:00:00,2025-10-16,2025,10,16,Thursday,4,-2.163285650693325,-3.8900238953858413,-10.250164987915522,-6.5775202531082595,-4.062993708837814,114289.99735428079,114394.80781790575,118458.83884221004,115832.66747129631,116027.03541139043,115840.87810874113,114416.269041478,115317.57765840147,3.2288031173108256,2.6484972084877856,2.2257501276266454,118458.83884221004,5101.829681819661,128662.49820584936,108255.17947857072,0.12022599161662068,38.09659010972396,-322.9333913542796,800.0295100183517,-1122.9629013726312,-4480.901854931479,-12643.835266437818,-7794.574908730603,93517848642.49278,0.7365153271405134,113156.56943826913,115222.28302116522,115189.5714637257,113201.74064138904,123352.50487523204,0,0,bitcoin,2025-11-18 13:53:54.716199
1760659200000,108076.72862033188,84773160808.27399,2154964541836.455,2025-10-17 00:00:00,2025-10-17,2025,10,17,Friday,4,-2.3773576159506815,-6.201538637731008,-11.192705397703051,-10.392846223783803,-7.439113630247163,112344.09706178775,112815.28801851228,117563.48237824012,114798.54229116773,115737.49804252085,115339.96523852118,114353.48191795882,115033.62279416344,3.2446854322145176,2.611905667978592,2.249004854008682,117563.48237824012,5753.277953614927,129070.03828546997,106056.92647101027,0.08776745038246052,31.15854978083175,-900.925942193091,459.83841957606325,-1360.7643617691542,-7145.554400833338,-13621.302047451274,-12534.990495578633,95328684948.1157,0.889272319810278,110708.66960879423,113156.56943826913,115222.28302116522,110853.11663883903,121698.03066778315,0,0,bitcoin,2025-11-18 13:53:54.716199
1760745600000,106443.61194984635,94325236794.78163,2123017949517.1426,2025-10-18 00:00:00,2025-10-18,2025,10,18,Saturday,4,-1.5110715242155237,-5.9324505167903,-5.9699865507825685,-12.929668942737592,-8.597529653784253,111378.65010585308,111222.3690013458,116434.44381262716,113684.55157899155,115403.75355810729,114766.00696183249,114231.84220882178,114696.75962379808,2.248350337315569,2.5455967411097515,2.261097873213445,116434.44381262716,6288.837167964299,129012.11814855575,103856.76947669857,0.10283468962773092,26.23725858246803,-1473.7792598155793,73.11488369773477,-1546.894143513314,-6712.957488422777,-6758.12869154269,-15806.539918581679,87231974048.81642,1.0813149401158308,108076.72862033188,110708.66960879423,113156.56943826913,115189.5714637257,113201.74064138904,0,2,bitcoin,2025-11-18 13:53:54.716199
1760832000000,107156.00337647724,34412835719.61292,2135575517405.9185,2025-10-19 00:00:00,2025-10-19,2025,10,19,Sunday,4,0.6692664910380453,-3.2090226039847347,-3.33514597916722,-12.440608865109937,-8.527422847467648,110850.49106837282,110205.77759512866,115346.94854775893,112814.07848532299,115070.77050100587,114275.03898858378,114205.35614302344,114401.0436925306,2.2392616747792897,2.5679526509171398,2.262160840074133,115346.94854775893,6494.463792663503,128335.87613308594,102358.02096243192,0.18469509443818025,27.5049889137304,-1848.9718107023655,-311.3024551822853,-1537.6693555200802,-3552.6662323169876,-3697.1132623617887,-15224.933708155426,76627541187.02159,0.44909226090946824,106443.61194984635,108076.72862033188,110708.66960879423,115222.28302116522,110853.11663883903,0,2,bitcoin,2025-11-18 13:53:54.716199
